magaza,smape_val,kapsama_val,n_val,smape_test,kapsama_test,kapali,eski_kapi_test
161,6.24,79.13,33,6.16,83.33,False,False
162,8.25,76.52,33,5.66,91.67,False,False
163,4.45,98.32,34,8.77,58.33,False,True
164,7.93,82.61,33,8.85,75.0,False,False
165,6.35,80.87,33,9.07,62.5,False,True
166,8.96,72.17,33,8.29,70.83,False,False
167,5.98,84.87,34,6.27,91.67,False,False
168,6.85,78.26,33,6.18,83.33,False,False
169,6.68,81.74,33,7.77,87.5,False,False
170,13.77,57.39,33,9.07,79.17,True,False
171,5.88,83.48,33,8.59,75.0,False,False
172,6.65,80.0,33,5.22,83.33,False,False
173,6.18,81.51,34,7.38,75.0,False,False
174,5.77,89.57,33,7.11,75.0,False,False
175,5.71,88.24,34,6.64,79.17,False,False
176,6.42,87.83,33,9.32,83.33,False,False
177,13.04,56.3,34,10.4,70.83,True,False
178,4.94,94.12,34,5.72,79.17,False,False
179,8.2,73.91,33,8.64,75.0,False,False
180,5.42,85.71,34,6.2,87.5,False,False
181,6.46,86.96,33,6.88,83.33,False,False
182,8.06,77.39,33,8.44,79.17,False,False
183,45.25,11.67,21,11.3,79.17,True,False
184,7.49,80.87,33,6.96,87.5,False,False
185,9.89,64.71,34,10.12,62.5,True,True
186,10.07,59.13,33,7.15,83.33,True,False
187,9.18,72.27,34,8.16,75.0,False,False
188,6.43,94.78,33,15.45,41.67,False,True
189,7.06,77.39,33,7.02,66.67,False,True
190,7.77,66.96,33,7.08,70.83,False,False
191,6.53,86.96,33,7.34,91.67,False,False
192,8.83,94.78,33,11.14,91.67,False,False
193,10.03,72.17,33,8.09,91.67,False,False
194,5.92,82.61,33,7.75,75.0,False,False
195,6.35,89.57,33,7.03,87.5,False,False
196,7.16,80.67,34,5.7,87.5,False,False
197,7.16,78.99,34,6.52,83.33,False,False
198,12.25,84.03,34,11.16,83.33,False,False
199,7.24,76.52,33,6.99,83.33,False,False
200,6.58,85.22,33,9.73,58.33,False,True
201,8.1,82.61,33,9.33,70.83,False,False
202,5.58,89.57,33,7.48,79.17,False,False
203,9.47,71.43,34,7.77,79.17,False,False
204,5.06,85.22,33,7.56,62.5,False,True
205,7.91,73.11,34,6.03,87.5,False,False
206,9.84,66.09,33,7.51,87.5,False,False
207,4.85,90.76,34,5.42,87.5,False,False
208,9.9,75.63,34,9.88,75.0,False,False
209,10.39,89.29,40,14.19,82.14,False,False
210,7.52,81.74,33,8.23,79.17,False,False
211,7.76,66.39,34,9.85,50.0,False,True
212,7.7,75.63,34,8.3,79.17,False,False
213,7.59,67.83,33,7.75,75.0,False,False
214,6.12,87.83,33,6.24,83.33,False,False
215,7.46,87.83,33,10.7,62.5,False,True
216,7.12,80.87,33,8.08,79.17,False,False
217,5.64,94.96,34,7.67,83.33,False,False
218,9.1,73.04,33,8.59,83.33,False,False
219,7.33,76.52,33,8.74,79.17,False,False
220,6.27,80.87,33,10.42,58.33,False,True
221,5.82,88.24,34,7.43,83.33,False,False
222,5.67,81.51,34,6.85,79.17,False,False
223,6.47,87.39,34,8.62,75.0,False,False
224,6.95,84.35,33,6.08,87.5,False,False
225,6.8,80.67,34,10.65,58.33,False,True
226,8.34,69.57,33,6.57,70.83,False,False
227,6.67,88.7,33,7.41,79.17,False,False
228,6.22,79.13,33,6.14,91.67,False,False
229,7.16,83.48,33,6.47,83.33,False,False
230,5.48,90.76,34,6.85,87.5,False,False
231,7.32,85.22,33,12.94,58.33,False,True
232,7.44,87.39,34,10.27,70.83,False,False
233,4.79,89.57,33,7.47,62.5,False,True
234,7.32,82.61,33,9.23,70.83,False,False
235,6.59,83.48,33,10.67,54.17,False,True
236,6.9,84.03,34,5.73,87.5,False,False
237,5.35,73.11,34,7.46,70.83,False,False
238,6.1,87.83,33,10.93,58.33,False,True
239,8.14,87.83,33,7.28,95.83,False,False
240,6.37,75.63,34,6.46,75.0,False,False
241,7.18,81.74,33,6.05,83.33,False,False
242,7.31,86.96,33,8.44,83.33,False,False
243,9.23,61.74,33,8.49,75.0,True,False
244,10.44,66.96,33,8.94,75.0,False,False
245,4.75,86.96,33,6.22,66.67,False,True
246,5.43,87.39,34,7.15,70.83,False,False
247,7.92,77.39,33,8.03,75.0,False,False
248,5.21,89.92,34,7.96,87.5,False,False
249,6.28,84.03,34,8.69,66.67,False,True
250,5.9,88.7,33,7.2,87.5,False,False
251,6.9,66.96,33,6.78,83.33,False,False
252,5.99,89.57,33,6.95,87.5,False,False
253,8.28,77.39,33,8.55,70.83,False,False
254,12.45,62.61,33,9.69,79.17,True,False
255,7.03,85.22,33,5.95,87.5,False,False
256,7.25,91.3,33,10.4,79.17,False,False
257,8.83,77.31,34,7.91,79.17,False,False
258,7.07,81.74,33,8.2,66.67,False,True
259,8.33,96.43,40,5.66,100.0,False,False
260,5.51,69.75,34,5.44,75.0,False,False
261,7.8,79.13,33,5.89,100.0,False,False
262,7.39,94.29,40,8.94,85.71,False,False
263,9.41,81.74,33,8.14,87.5,False,False
264,6.55,85.71,34,7.03,83.33,False,False
265,7.89,80.0,33,7.89,75.0,False,False
266,8.3,83.19,34,5.83,91.67,False,False
267,11.73,70.59,34,12.88,62.5,False,True
268,10.2,72.27,34,9.93,75.0,False,False
269,10.81,67.83,33,17.0,50.0,False,True
270,4.5,89.92,34,6.28,83.33,False,False
271,6.48,88.24,34,9.78,75.0,False,False
272,6.35,90.43,33,5.77,87.5,False,False
273,6.32,85.22,33,6.06,91.67,False,False
274,20.29,74.29,40,24.88,39.29,True,True
275,8.3,67.83,33,7.08,83.33,False,False
276,12.07,52.1,34,9.43,79.17,True,False
277,6.67,79.13,33,8.68,75.0,False,False
278,6.07,91.6,34,8.75,75.0,False,False
279,9.23,80.87,33,15.16,54.17,False,True
280,5.67,90.43,33,6.53,83.33,False,False
281,5.51,82.35,34,6.86,70.83,False,False
282,7.03,69.75,34,5.47,83.33,False,False
283,7.69,73.91,33,11.16,58.33,False,True
284,8.49,75.65,33,7.97,83.33,False,False
285,7.32,82.61,33,8.12,79.17,False,False
286,17.98,46.09,33,19.27,37.5,True,True
287,7.28,70.43,33,6.72,75.0,False,False
288,9.4,66.96,33,11.66,62.5,False,True
289,8.27,70.43,33,7.66,79.17,False,False
290,7.98,75.65,33,8.23,75.0,False,False
291,5.84,80.67,34,5.43,100.0,False,False
292,10.31,85.71,34,74.04,16.67,False,True
293,6.97,78.15,34,5.09,91.67,False,False
294,7.04,83.48,33,6.94,75.0,False,False
295,7.43,82.61,33,9.67,70.83,False,False
296,6.26,84.35,33,6.73,79.17,False,False
297,5.24,91.3,33,6.49,83.33,False,False
298,6.15,88.7,33,6.82,83.33,False,False
299,11.61,87.14,40,15.17,71.43,False,False
300,8.12,72.17,33,8.47,66.67,False,True
301,6.71,76.47,34,5.88,75.0,False,False
302,9.28,79.13,33,9.71,79.17,False,False
303,5.71,90.43,33,7.47,83.33,False,False
304,7.48,75.63,34,9.71,58.33,False,True
305,7.01,89.57,33,7.23,91.67,False,False
306,6.87,82.61,33,8.65,75.0,False,False
307,9.08,86.55,34,8.61,83.33,False,False
308,7.55,84.35,33,8.08,75.0,False,False
309,6.74,80.0,33,5.19,91.67,False,False
310,9.16,95.0,40,10.96,89.29,False,False
311,6.86,71.3,33,5.45,83.33,False,False
312,6.38,80.0,33,7.12,79.17,False,False
313,7.3,84.87,34,7.64,87.5,False,False
314,6.98,73.04,33,6.85,87.5,False,False
315,7.06,86.55,34,7.1,83.33,False,False
316,8.06,66.96,33,5.58,87.5,False,False
317,7.79,78.26,33,7.9,70.83,False,False
318,6.59,78.99,34,9.48,75.0,False,False
319,5.7,89.92,34,6.91,79.17,False,False
320,5.67,84.87,34,9.75,66.67,False,True
321,9.01,83.19,34,6.45,91.67,False,False
322,9.51,84.87,34,7.79,91.67,False,False
323,6.56,74.78,33,7.18,79.17,False,False
324,12.98,68.07,34,12.92,70.83,False,False
325,9.51,66.09,33,13.07,54.17,False,True
326,7.12,87.83,33,7.11,87.5,False,False
327,8.68,73.95,34,9.13,62.5,False,True
328,7.49,72.17,33,6.33,83.33,False,False
329,6.66,83.48,33,6.45,87.5,False,False
330,9.16,72.17,33,9.87,75.0,False,False
331,5.84,85.22,33,7.2,83.33,False,False
332,6.35,89.08,34,7.19,79.17,False,False
333,5.99,77.31,34,7.2,70.83,False,False
334,6.62,80.0,33,9.04,54.17,False,True
335,8.7,87.14,40,6.28,89.29,False,False
336,5.57,80.87,33,5.44,87.5,False,False
337,6.14,93.04,33,8.6,83.33,False,False
338,9.5,62.61,33,6.12,79.17,True,False
339,9.77,66.09,33,7.67,83.33,False,False
340,6.6,78.15,34,6.96,83.33,False,False
341,6.78,81.74,33,5.32,95.83,False,False
342,6.05,82.61,33,6.55,83.33,False,False
343,8.59,72.17,33,7.04,83.33,False,False
344,6.75,89.08,34,10.7,58.33,False,True
345,7.22,68.7,33,11.12,54.17,False,True
346,7.75,68.7,33,4.18,95.83,False,False
347,10.09,66.96,33,6.41,87.5,False,False
348,6.63,86.09,33,8.03,79.17,False,False
349,7.0,75.63,34,4.64,87.5,False,False
350,7.35,77.39,33,4.87,95.83,False,False
351,6.65,86.09,33,6.79,75.0,False,False
352,4.87,90.76,34,5.01,95.83,False,False
353,8.79,96.43,40,7.86,92.86,False,False
354,7.14,79.13,33,8.37,79.17,False,False
355,5.39,88.24,34,6.26,83.33,False,False
356,8.41,74.78,33,8.64,75.0,False,False
357,5.86,88.24,34,8.44,66.67,False,True
358,5.9,82.61,33,5.47,87.5,False,False
359,7.56,64.35,33,7.13,70.83,True,False
360,6.93,72.27,34,6.11,83.33,False,False
361,6.72,86.55,34,8.18,75.0,False,False
362,8.35,70.43,33,5.74,83.33,False,False
363,6.47,78.99,34,8.17,83.33,False,False
364,6.8,90.43,33,7.21,100.0,False,False
365,6.58,85.22,33,8.38,91.67,False,False
366,7.29,88.24,34,5.21,95.83,False,False
367,6.45,84.03,34,6.77,83.33,False,False
368,8.06,80.87,33,9.28,83.33,False,False
