num_layers,hucre_tipi,cift_yonlu,batch_norm,units_0,l2_0,init_0,dropout_0,optimizer,learning_rate,clipnorm,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,units_1,l2_1,init_1,dropout_1,units_2,l2_2,init_2,dropout_2,units_3,l2_3,init_3,dropout_3,momentum,batch_size,val_loss,units_4,l2_4,init_4,dropout_4,tuner/trial_id
2,GRU,True,False,128,0.0001867992511444232,glorot_uniform,0.0,adamax,0.000450219899401971,1.0,7,3,3,1,288,0.0019692379089775217,glorot_uniform,0.4,256,0.0001545832407504449,glorot_uniform,0.0,96,4.732752932786752e-05,random_normal,0.30000000000000004,0.8,8,0.04036721587181091,160.0,0.003343648880295255,glorot_uniform,0.0,0025
5,LSTM,False,True,96,0.00030794170455443216,random_normal,0.0,adamax,0.00019584369813174676,0.0,7,3,3,1,64,4.0833005035583936e-05,glorot_uniform,0.2,480,0.00043692275217518175,random_normal,0.1,128,0.0001172720778910653,he_uniform,0.0,0.5,8,0.3216497600078583,32.0,1e-05,glorot_uniform,0.0,0002
4,SimpleRNN,False,False,32,0.00011869740769647586,glorot_uniform,0.4,adamax,0.007554544167531015,1.0,7,3,3,1,512,1.99313820010174e-05,glorot_uniform,0.4,128,0.0030212124565728088,random_normal,0.4,416,0.0008919693990099174,random_normal,0.4,0.1,16,0.06696853041648865,224.0,2.644312501283834e-05,random_normal,0.30000000000000004,0017
1,GRU,False,False,288,0.00010199492808918333,glorot_uniform,0.30000000000000004,adam,0.0001018885398410015,0.0,20,7,3,2,352,0.00112185798344946,he_uniform,0.1,256,0.0001461490560025892,he_uniform,0.1,512,0.0030802070945564752,glorot_uniform,0.0,0.8,64,0.012691192328929901,224.0,0.0031046478784541565,glorot_uniform,0.30000000000000004,0034
1,GRU,False,False,480,0.0017563360177390989,random_normal,0.0,adamax,0.0003948697422663148,1.0,20,7,3,2,320,4.089104058058733e-05,glorot_uniform,0.0,480,5.7204038443778187e-05,random_normal,0.1,32,0.008835224501553532,random_normal,0.1,0.0,64,0.010927777737379074,256.0,0.0007079649309085407,random_normal,0.4,0036
1,LSTM,False,False,384,0.0005027731605941626,glorot_uniform,0.30000000000000004,sgd,0.0012916183462591186,1.0,20,7,3,2,320,4.188561619023862e-05,he_uniform,0.4,352,0.0008615943638908687,glorot_uniform,0.0,224,0.0033122851396782038,glorot_uniform,0.4,0.5,64,0.017502039670944214,224.0,0.005600646421452508,glorot_uniform,0.1,0039
1,LSTM,True,False,96,0.006843473440725627,random_normal,0.1,sgd,0.003378131836989523,0.0,20,7,3,2,416,8.874862293618504e-05,he_uniform,0.30000000000000004,128,0.0004110608616314087,he_uniform,0.0,384,0.0047480211475295015,random_normal,0.0,0.0,32,0.030140358954668045,64.0,0.005879021722490935,glorot_uniform,0.4,0037
1,GRU,False,False,480,0.0017563360177390989,random_normal,0.0,adamax,0.0003948697422663148,1.0,60,20,3,3,320,4.089104058058733e-05,glorot_uniform,0.0,480,5.7204038443778187e-05,random_normal,0.1,32,0.008835224501553532,random_normal,0.1,0.0,64,0.00915012788027525,256.0,0.0007079649309085407,random_normal,0.4,0047
1,GRU,False,False,288,0.00010199492808918333,glorot_uniform,0.30000000000000004,adam,0.0001018885398410015,0.0,60,20,3,3,352,0.00112185798344946,he_uniform,0.1,256,0.0001461490560025892,he_uniform,0.1,512,0.0030802070945564752,glorot_uniform,0.0,0.8,64,0.009041359648108482,224.0,0.0031046478784541565,glorot_uniform,0.30000000000000004,0046
3,GRU,False,False,192,0.003696733690881373,he_uniform,0.0,rmsprop,0.0005418031892376496,0.0,7,0,2,0,480,0.00035206467192473495,glorot_uniform,0.1,256,0.00015202649525832937,glorot_uniform,0.0,288,2.4961311242408694e-05,he_uniform,0.30000000000000004,0.1,8,2.8099849224090576,32.0,0.00024423350621395525,he_uniform,0.4,
4,GRU,True,True,416,0.00017690401873452437,glorot_uniform,0.0,rmsprop,0.0004067957883991359,0.0,7,0,2,0,128,0.007362762827968322,random_normal,0.4,256,1.7255200889549865e-05,glorot_uniform,0.4,192,1.3835809384114695e-05,random_normal,0.30000000000000004,0.1,8,2.8043723106384277,64.0,0.003231628113823418,glorot_uniform,0.0,
2,GRU,False,False,128,0.0047881020604016375,random_normal,0.0,sgd,0.007964892979213052,0.0,7,0,2,0,64,0.0027856753315450033,glorot_uniform,0.4,224,0.00011770717938345076,random_normal,0.0,288,0.0024423568370947257,he_uniform,0.0,0.1,32,0.43997785449028015,352.0,0.005572657781062138,glorot_uniform,0.2,
2,GRU,False,True,192,0.0004266282458028085,glorot_uniform,0.30000000000000004,rmsprop,0.00022548142931975678,0.0,7,0,2,0,512,0.00011876380458491586,random_normal,0.2,160,0.0019606597714987473,he_uniform,0.30000000000000004,128,0.00014570855522823183,he_uniform,0.1,0.2,8,0.10872876644134521,288.0,6.437272181976116e-05,random_normal,0.2,
2,LSTM,True,True,256,6.925585932027921e-05,random_normal,0.0,sgd,0.0009905604378710265,0.0,7,0,2,0,480,0.0004239449556741265,random_normal,0.2,224,0.00965789125520242,he_uniform,0.0,224,7.34847995639495e-05,random_normal,0.4,0.30000000000000004,8,2.139685869216919,352.0,0.00033992731734007464,glorot_uniform,0.30000000000000004,
5,GRU,True,False,96,0.0004885871692660334,glorot_uniform,0.4,adam,0.0016449029211275236,1.0,7,0,2,0,416,3.675382829883336e-05,he_uniform,0.4,256,1.5373998234897354e-05,glorot_uniform,0.4,352,0.0027238932381972968,he_uniform,0.4,0.0,32,0.17617173492908478,288.0,0.0001784794574379517,glorot_uniform,0.2,
4,GRU,True,True,224,0.0001224546560588802,random_normal,0.1,rmsprop,0.00032650301626459646,0.0,7,0,2,0,384,0.000559919454195456,he_uniform,0.2,224,0.0017158449010619633,glorot_uniform,0.30000000000000004,160,3.1635428104735185e-05,random_normal,0.1,0.8,64,4.675718784332275,128.0,8.556581060099099e-05,random_normal,0.1,
4,GRU,True,False,448,1.661042405128692e-05,glorot_uniform,0.30000000000000004,rmsprop,0.009625945169016319,0.0,7,0,2,0,288,0.007592175016682904,he_uniform,0.4,160,1.5062692442178705e-05,he_uniform,0.4,64,0.00013425570956427058,he_uniform,0.30000000000000004,0.1,8,0.06284758448600769,288.0,0.00013688108995958448,he_uniform,0.1,
5,SimpleRNN,True,False,32,1.6751851197750423e-05,he_uniform,0.30000000000000004,adam,0.002874055088465658,0.0,7,0,2,0,288,3.157326827819403e-05,random_normal,0.2,288,2.743249555740463e-05,random_normal,0.30000000000000004,384,0.00020087857375925783,he_uniform,0.2,0.4,8,0.36066654324531555,224.0,1.86826588667873e-05,glorot_uniform,0.0,
5,LSTM,False,True,64,1.785526695466135e-05,random_normal,0.2,sgd,0.00028387241323905404,1.0,7,0,2,0,64,0.0009066764355178038,glorot_uniform,0.1,32,0.0015829314915326521,random_normal,0.1,32,9.572264322839292e-05,he_uniform,0.1,0.30000000000000004,16,0.2444252371788025,448.0,0.0005298813270523489,random_normal,0.2,
3,LSTM,True,False,256,0.00020770137026701493,random_normal,0.1,sgd,0.004713373094066093,1.0,7,0,2,0,192,0.000155131958301726,glorot_uniform,0.30000000000000004,320,0.0003112720524911684,he_uniform,0.4,96,0.00046716216457542726,random_normal,0.1,0.30000000000000004,8,1.792501449584961,320.0,0.003722409752809061,he_uniform,0.0,
3,GRU,True,False,480,0.0002973226244782793,glorot_uniform,0.0,sgd,0.0004988198425088675,1.0,7,0,2,0,32,0.0002870126353775899,he_uniform,0.30000000000000004,288,0.0007132775759287154,random_normal,0.30000000000000004,192,0.00022853505629360095,random_normal,0.1,0.30000000000000004,8,0.3241795599460602,160.0,0.008382180879134607,random_normal,0.0,
3,LSTM,False,False,288,0.0010662926671774072,glorot_uniform,0.4,adam,0.007821401515700141,1.0,7,0,2,0,64,0.002823417649981678,glorot_uniform,0.30000000000000004,512,0.000360231415380663,he_uniform,0.1,320,0.0008585039810984363,random_normal,0.30000000000000004,0.0,8,0.01869741454720497,32.0,0.00025363953043185,glorot_uniform,0.0,
4,GRU,True,True,64,0.007410517012893263,glorot_uniform,0.4,adamax,0.0015032607391885788,0.0,7,0,2,0,64,2.56524151613748e-05,glorot_uniform,0.1,224,0.0009618068918704819,glorot_uniform,0.0,192,0.00036660899613297297,glorot_uniform,0.30000000000000004,0.5,16,0.8375976085662842,416.0,0.0001851986779969056,random_normal,0.0,
3,LSTM,False,True,448,0.0002353499865304689,random_normal,0.4,adam,0.0004227441785243345,1.0,7,0,2,0,320,0.006007117681596301,glorot_uniform,0.1,448,1.3840927949152187e-05,glorot_uniform,0.4,416,0.00035809986264800973,glorot_uniform,0.4,0.4,16,2.442150592803955,384.0,1.0128088949726142e-05,random_normal,0.30000000000000004,
3,LSTM,False,False,288,0.0010662926671774072,glorot_uniform,0.4,adam,0.007821401515700141,1.0,20,7,2,1,64,0.002823417649981678,glorot_uniform,0.30000000000000004,512,0.000360231415380663,he_uniform,0.1,320,0.0008585039810984363,random_normal,0.30000000000000004,0.0,8,0.017460450530052185,32.0,0.00025363953043185,glorot_uniform,0.0,0064
4,GRU,True,False,448,1.661042405128692e-05,glorot_uniform,0.30000000000000004,rmsprop,0.009625945169016319,0.0,20,7,2,1,288,0.007592175016682904,he_uniform,0.4,160,1.5062692442178705e-05,he_uniform,0.4,64,0.00013425570956427058,he_uniform,0.30000000000000004,0.1,8,0.028526853770017624,288.0,0.00013688108995958448,he_uniform,0.1,0059
2,GRU,False,True,192,0.0004266282458028085,glorot_uniform,0.30000000000000004,rmsprop,0.00022548142931975678,0.0,20,7,2,1,512,0.00011876380458491586,random_normal,0.2,160,0.0019606597714987473,he_uniform,0.30000000000000004,128,0.00014570855522823183,he_uniform,0.1,0.2,8,0.10269048810005188,288.0,6.437272181976116e-05,random_normal,0.2,0055
5,GRU,True,False,96,0.0004885871692660334,glorot_uniform,0.4,adam,0.0016449029211275236,1.0,20,7,2,1,416,3.675382829883336e-05,he_uniform,0.4,256,1.5373998234897354e-05,glorot_uniform,0.4,352,0.0027238932381972968,he_uniform,0.4,0.0,32,0.022747285664081573,288.0,0.0001784794574379517,glorot_uniform,0.2,0057
5,LSTM,False,True,64,1.785526695466135e-05,random_normal,0.2,sgd,0.00028387241323905404,1.0,20,7,2,1,64,0.0009066764355178038,glorot_uniform,0.1,32,0.0015829314915326521,random_normal,0.1,32,9.572264322839292e-05,he_uniform,0.1,0.30000000000000004,16,0.2511885464191437,448.0,0.0005298813270523489,random_normal,0.2,0061
3,LSTM,False,False,288,0.0010662926671774072,glorot_uniform,0.4,adam,0.007821401515700141,1.0,60,20,2,2,64,0.002823417649981678,glorot_uniform,0.30000000000000004,512,0.000360231415380663,he_uniform,0.1,320,0.0008585039810984363,random_normal,0.30000000000000004,0.0,8,0.017755407840013504,32.0,0.00025363953043185,glorot_uniform,0.0,0067
5,GRU,True,False,96,0.0004885871692660334,glorot_uniform,0.4,adam,0.0016449029211275236,1.0,60,20,2,2,416,3.675382829883336e-05,he_uniform,0.4,256,1.5373998234897354e-05,glorot_uniform,0.4,352,0.0027238932381972968,he_uniform,0.4,0.0,32,0.013139056041836739,288.0,0.0001784794574379517,glorot_uniform,0.2,0070
2,SimpleRNN,True,False,416,0.0014436523152791848,glorot_uniform,0.30000000000000004,adam,0.00047111211269896045,0.0,20,0,1,0,224,1.980489071774934e-05,he_uniform,0.1,160,7.74966565270494e-05,random_normal,0.2,256,0.00010537248862332872,glorot_uniform,0.2,0.6000000000000001,8,0.027675561606884003,160.0,0.0008659957314772467,glorot_uniform,0.1,
4,SimpleRNN,True,False,512,2.6726200420495465e-05,glorot_uniform,0.0,adam,0.0001672935437016456,1.0,20,0,1,0,384,0.0005586841898640279,glorot_uniform,0.4,32,1.735358928121787e-05,he_uniform,0.0,192,0.0028030628564691194,random_normal,0.1,0.30000000000000004,32,0.5790603160858154,128.0,0.005043464615051836,random_normal,0.0,
3,SimpleRNN,False,False,192,8.530841820469118e-05,he_uniform,0.0,sgd,0.007006893747238556,0.0,20,0,1,0,96,1.325498100658928e-05,glorot_uniform,0.4,224,3.552081437495832e-05,he_uniform,0.2,32,0.002630557917906573,glorot_uniform,0.1,0.1,8,0.057777147740125656,224.0,1.0492109414286508e-05,he_uniform,0.0,
